ID    Species    Bill Len   Bill Dep   Flipper Len     Mass       Sex     
1     Adelie     0.0        18.7       181.0           3750.0     MALE    
2     Adelie     0.0        17.4       186.0           3800.0     FEMALE  
3     Adelie     0.0        18.0       195.0           3250.0     FEMALE  
4     Adelie     0.0        19.3       193.0           3450.0     FEMALE  
5     Adelie     0.0        20.6       190.0           3650.0     MALE    
6     Adelie     0.0        17.8       181.0           3625.0     FEMALE  
7     Adelie     0.0        19.6       195.0           4675.0     MALE    
8     Adelie     0.0        18.1       193.0           3475.0     FEMALE  
9     Adelie     0.0        20.2       190.0           4250.0     MALE    
10    Adelie     0.0        17.1       186.0           3300.0     MALE    
11    Adelie     0.0        17.3       180.0           3700.0     FEMALE  
12    Adelie     0.0        17.6       182.0           3200.0     FEMALE  
13    Adelie     0.0        21.2       191.0           3800.0     MALE    
14    Adelie     0.0        21.1       198.0           4400.0     MALE    
15    Adelie     0.0        17.8       185.0           3700.0     FEMALE  
16    Adelie     0.0        19.0       195.0           3450.0     FEMALE  
17    Adelie     0.0        20.7       197.0           4500.0     MALE    
18    Adelie     0.0        18.4       184.0           3325.0     FEMALE  
19    Adelie     0.0        21.5       194.0           4200.0     MALE    
20    Adelie     0.0        18.3       174.0           3400.0     FEMALE  
21    Adelie     0.0        18.7       180.0           3600.0     MALE    
22    Adelie     0.0        19.2       189.0           3800.0     FEMALE  
23    Adelie     0.0        18.1       185.0           3950.0     MALE    
24    Adelie     0.0        17.2       180.0           3800.0     MALE    
25    Adelie     0.0        18.9       187.0           3800.0     FEMALE  
26    Adelie     0.0        18.6       183.0           3550.0     MALE    
27    Adelie     0.0        17.9       187.0           3200.0     FEMALE  
28    Adelie     0.0        18.6       172.0           3150.0     FEMALE  
29    Adelie     0.0        18.9       180.0           3950.0     MALE    
30    Adelie     0.0        16.7       178.0           3250.0     FEMALE  
31    Adelie     0.0        18.1       178.0           3900.0     MALE    
32    Adelie     0.0        17.8       188.0           3300.0     FEMALE  
33    Adelie     0.0        18.9       184.0           3900.0     MALE    
34    Adelie     0.0        17.0       195.0           3325.0     FEMALE  
35    Adelie     0.0        21.1       196.0           4150.0     MALE    
36    Adelie     0.0        20.0       190.0           3950.0     MALE    
37    Adelie     0.0        18.5       180.0           3550.0     FEMALE  
38    Adelie     0.0        19.3       181.0           3300.0     FEMALE  
39    Adelie     0.0        19.1       184.0           4650.0     MALE    
40    Adelie     0.0        18.0       182.0           3150.0     FEMALE  
41    Adelie     0.0        18.4       195.0           3900.0     MALE    
42    Adelie     0.0        18.5       186.0           3100.0     FEMALE  
43    Adelie     0.0        19.7       196.0           4400.0     MALE    
44    Adelie     0.0        16.9       185.0           3000.0     FEMALE  
45    Adelie     0.0        18.8       190.0           4600.0     MALE    
46    Adelie     0.0        19.0       182.0           3425.0     MALE    
47    Adelie     0.0        18.9       179.0           2975.0     FEMALE  
48    Adelie     0.0        17.9       190.0           3450.0     FEMALE  
49    Adelie     0.0        21.2       191.0           4150.0     MALE    
50    Adelie     0.0        17.7       186.0           3500.0     FEMALE  
51    Adelie     0.0        18.9       188.0           4300.0     MALE    
52    Adelie     0.0        17.9       190.0           3450.0     FEMALE  
53    Adelie     0.0        19.5       200.0           4050.0     MALE    
54    Adelie     0.0        18.1       187.0           2900.0     FEMALE  
55    Adelie     0.0        18.6       191.0           3700.0     MALE    
56    Adelie     0.0        17.5       186.0           3550.0     FEMALE  
57    Adelie     0.0        18.8       193.0           3800.0     MALE    
58    Adelie     0.0        16.6       181.0           2850.0     FEMALE  
59    Adelie     0.0        19.1       194.0           3750.0     MALE    
60    Adelie     0.0        16.9       185.0           3150.0     FEMALE  
61    Adelie     0.0        21.1       195.0           4400.0     MALE    
62    Adelie     0.0        17.0       185.0           3600.0     FEMALE  
63    Adelie     0.0        18.2       192.0           4050.0     MALE    
64    Adelie     0.0        17.1       184.0           2850.0     FEMALE  
65    Adelie     0.0        18.0       192.0           3950.0     MALE    
